Chip,Timestamp,Item Id,Entry Id
collector,2017-12-28 16:24:13,483p,1346
collector,2017-12-28 16:26:13,389p,1352
collector,2017-12-28 16:31:13,440p,1359
extraCheck,2017-12-28 16:34:13,483p,1355
collector,2017-12-28 16:40:13,171p,1369
packageDone,2017-12-28 16:42:13,483p,1367
collector,2017-12-28 16:54:13,485p,1388
extraCheck,2017-12-28 16:56:13,389p,1382
collector,2017-12-28 17:02:13,395p,1399
collector,2017-12-28 17:03:13,94p,1403
packageDone,2017-12-28 17:13:13,389p,1398
extraCheck,2017-12-28 17:23:13,440p,1417
collector,2017-12-28 17:29:13,317p,1431
packageDone,2017-12-28 17:36:13,440p,1426
collector,2017-12-28 17:37:13,495p,1438
extraCheck,2017-12-28 17:41:13,171p,1442
collector,2017-12-28 17:42:13,388p,1449
packageDone,2017-12-28 17:54:13,171p,1450
collector,2017-12-28 17:58:13,254p,1461
collector,2017-12-28 18:02:13,484p,1469
extraCheck,2017-12-28 18:04:13,485p,1463
packageDone,2017-12-28 18:12:13,485p,1474
extraCheck,2017-12-28 18:16:13,395p,1480
collector,2017-12-28 18:21:13,457p,1484
packageDone,2017-12-28 18:29:13,395p,1482
packageDone,2017-12-28 18:44:13,94p,1491
extraCheck,2017-12-28 18:55:13,317p,1500
collector,2017-12-28 18:55:13,267p,1505
packageDone,2017-12-28 19:06:13,317p,1506
extraCheck,2017-12-28 19:17:13,495p,1518
collector,2017-12-28 19:25:13,162p,1529
packageDone,2017-12-28 19:31:13,495p,1525
collector,2017-12-28 19:31:13,407p,1534
extraCheck,2017-12-28 19:39:13,388p,1543
packageDone,2017-12-28 19:53:13,388p,1547
collector,2017-12-28 19:56:13,79p,1559
extraCheck,2017-12-28 19:58:13,407p,1560
packageDone,2017-12-28 20:03:13,407p,1562
extraCheck,2017-12-28 20:15:13,254p,1569
collector,2017-12-28 20:21:13,33p,1578
packageDone,2017-12-28 20:23:13,254p,1574
extraCheck,2017-12-28 20:32:13,484p,1586
collector,2017-12-28 20:39:13,304p,1592
packageDone,2017-12-28 20:41:13,484p,1589
packageDone,2017-12-28 21:00:13,457p,1599
collector,2017-12-28 21:04:13,438p,1609
packageDone,2017-12-28 21:17:13,267p,1610
extraCheck,2017-12-28 21:20:13,162p,1618
collector,2017-12-28 21:27:13,157p,1625
packageDone,2017-12-28 21:35:13,162p,1621
extraCheck,2017-12-28 21:49:13,79p,1632
collector,2017-12-28 21:51:13,153p,1650
packageDone,2017-12-28 21:54:13,79p,1649
extraCheck,2017-12-28 22:05:13,33p,1659
collector,2017-12-28 22:10:13,431p,1666
packageDone,2017-12-28 22:12:13,33p,1667
collector,2017-12-28 22:13:13,104p,1673
collector,2017-12-28 22:25:13,204p,1689
packageDone,2017-12-28 22:29:13,304p,1679
collector,2017-12-28 22:31:13,99p,1694
extraCheck,2017-12-28 22:39:13,438p,1698
packageDone,2017-12-28 22:51:13,438p,1705
collector,2017-12-28 23:02:13,357p,1722
extraCheck,2017-12-28 23:04:13,157p,1715
collector,2017-12-28 23:05:13,6p,1724
packageDone,2017-12-28 23:07:13,157p,1728
extraCheck,2017-12-28 23:18:13,153p,1733
packageDone,2017-12-28 23:30:13,153p,1742
collector,2017-12-28 23:40:13,195p,1755
extraCheck,2017-12-28 23:42:13,6p,1751
collector,2017-12-28 23:43:13,138p,1759
packageDone,2017-12-28 23:48:13,6p,1762
collector,2017-12-28 23:51:13,201p,1771
extraCheck,2017-12-29 00:05:13,357p,1780
packageDone,2017-12-29 00:21:13,357p,1782
collector,2017-12-29 00:27:13,494p,1791
extraCheck,2017-12-29 00:33:13,431p,1794
packageDone,2017-12-29 00:50:13,431p,1798
collector,2017-12-29 01:24:13,18p,1809
extraCheck,2017-12-29 01:27:13,104p,1811
packageDone,2017-12-29 01:50:13,104p,1814
extraCheck,2017-12-29 02:15:13,204p,1820
collector,2017-12-29 02:16:13,345p,1826
packageDone,2017-12-29 02:20:13,204p,1828
extraCheck,2017-12-29 02:34:13,99p,1836
collector,2017-12-29 02:37:13,78p,1843
collector,2017-12-29 02:43:13,141p,1849
packageDone,2017-12-29 02:50:13,99p,1844
extraCheck,2017-12-29 03:04:13,138p,1858
collector,2017-12-29 03:06:13,133p,1865
packageDone,2017-12-29 03:17:13,138p,1864
extraCheck,2017-12-29 03:24:13,195p,1872
packageDone,2017-12-29 03:33:13,195p,1875
extraCheck,2017-12-29 03:38:13,201p,1881
collector,2017-12-29 03:45:13,422p,1888
packageDone,2017-12-29 03:52:13,201p,1882
extraCheck,2017-12-29 04:08:13,494p,1897
packageDone,2017-12-29 04:21:13,494p,1904
collector,2017-12-29 04:32:13,59p,1917
extraCheck,2017-12-29 04:35:13,18p,1913
collector,2017-12-29 04:37:13,245p,1920
collector,2017-12-29 04:41:13,281p,1926
packageDone,2017-12-29 04:52:13,18p,1925
extraCheck,2017-12-29 04:58:13,345p,1940
packageDone,2017-12-29 05:05:13,345p,1941
collector,2017-12-29 05:06:13,211p,1946
extraCheck,2017-12-29 05:15:13,78p,1952
packageDone,2017-12-29 05:20:13,78p,1953
extraCheck,2017-12-29 05:29:13,141p,1961
packageDone,2017-12-29 05:34:13,141p,1969
collector,2017-12-29 05:50:13,337p,1981
packageDone,2017-12-29 05:51:13,133p,1975
extraCheck,2017-12-29 05:56:13,422p,1988
collector,2017-12-29 06:00:13,272p,1991
packageDone,2017-12-29 06:03:13,422p,1992
extraCheck,2017-12-29 06:11:13,211p,2000
collector,2017-12-29 06:12:13,64p,2005
packageDone,2017-12-29 06:18:13,211p,2006
extraCheck,2017-12-29 06:23:13,59p,2013
packageDone,2017-12-29 06:28:13,59p,2019
collector,2017-12-29 06:37:13,53p,2028
extraCheck,2017-12-29 06:43:13,245p,2026
packageDone,2017-12-29 06:52:13,245p,2030
extraCheck,2017-12-29 07:03:13,281p,2040
packageDone,2017-12-29 07:08:13,281p,2046
extraCheck,2017-12-29 07:33:13,337p,2051
collector,2017-12-29 07:37:13,444p,2056
collector,2017-12-29 07:57:13,319p,2069
collector,2017-12-29 08:08:13,127p,2068
packageDone,2017-12-29 08:31:13,337p,2066
collector,2017-12-29 08:36:13,323p,2084
extraCheck,2017-12-29 08:41:13,272p,2094
collector,2017-12-29 08:42:13,266p,2098
collector,2017-12-29 08:45:13,21p,2100
packageDone,2017-12-29 08:46:13,272p,2101
extraCheck,2017-12-29 08:58:13,64p,2110
packageDone,2017-12-29 09:08:13,64p,2114
extraCheck,2017-12-29 09:14:13,53p,2118
collector,2017-12-29 09:22:13,1p,2126
packageDone,2017-12-29 09:26:13,53p,2121
extraCheck,2017-12-29 09:32:13,444p,2134
packageDone,2017-12-29 09:38:13,444p,2137
collector,2017-12-29 09:43:13,486p,2144
extraCheck,2017-12-29 09:52:13,319p,2140
collector,2017-12-29 10:04:13,97p,2157
packageDone,2017-12-29 10:06:13,319p,2151
extraCheck,2017-12-29 10:14:13,127p,2163
packageDone,2017-12-29 10:23:13,127p,2168
collector,2017-12-29 10:30:13,411p,2176
collector,2017-12-29 10:32:13,54p,2182
extraCheck,2017-12-29 10:37:13,323p,2177
packageDone,2017-12-29 10:45:13,323p,2187
extraCheck,2017-12-29 10:52:13,266p,2195
packageDone,2017-12-29 11:05:13,266p,2196
collector,2017-12-29 11:10:13,49p,2206
extraCheck,2017-12-29 11:13:13,21p,2207
packageDone,2017-12-29 11:26:13,21p,2210
extraCheck,2017-12-29 11:38:13,1p,2221
collector,2017-12-29 11:44:13,263p,2229
collector,2017-12-29 11:46:13,30p,2230
packageDone,2017-12-29 11:53:13,1p,2225
extraCheck,2017-12-29 12:01:13,486p,2241
packageDone,2017-12-29 12:04:13,486p,2244
extraCheck,2017-12-29 12:12:13,97p,2249
packageDone,2017-12-29 12:18:13,97p,2256
collector,2017-12-29 12:24:13,35p,2265
extraCheck,2017-12-29 12:27:13,411p,2267
collector,2017-12-29 12:28:13,132p,2273
packageDone,2017-12-29 12:36:13,411p,2276
extraCheck,2017-12-29 12:39:13,54p,2285
collector,2017-12-29 12:50:13,278p,2290
packageDone,2017-12-29 12:54:13,54p,2286
extraCheck,2017-12-29 13:05:13,49p,2297
collector,2017-12-29 13:06:13,25p,2303
packageDone,2017-12-29 13:19:13,49p,2304
collector,2017-12-29 13:21:13,253p,2309
extraCheck,2017-12-29 13:29:13,263p,2313
packageDone,2017-12-29 13:41:13,263p,2316
extraCheck,2017-12-29 13:53:13,30p,2323
collector,2017-12-29 13:58:13,461p,2333
packageDone,2017-12-29 14:07:13,30p,2331
extraCheck,2017-12-29 14:16:13,35p,2341
collector,2017-12-29 14:21:13,101p,2348
packageDone,2017-12-29 14:23:13,35p,2345
extraCheck,2017-12-29 14:35:13,132p,2353
collector,2017-12-29 14:39:13,151p,2358
packageDone,2017-12-29 14:49:13,132p,2359
extraCheck,2017-12-29 14:59:13,278p,2366
packageDone,2017-12-29 15:10:13,278p,2369
extraCheck,2017-12-29 15:14:13,25p,2379
packageDone,2017-12-29 15:18:13,25p,2382
extraCheck,2017-12-29 15:26:13,253p,2388
packageDone,2017-12-29 15:31:13,253p,2395
extraCheck,2017-12-29 15:38:13,461p,2404
collector,2017-12-29 15:39:13,220p,2403
collector,2017-12-29 15:41:13,398p,2409
packageDone,2017-12-29 15:44:13,461p,2410
collector,2017-12-29 15:50:13,417p,2421
extraCheck,2017-12-29 15:57:13,101p,2422
packageDone,2017-12-29 16:03:13,101p,2431
collector,2017-12-29 16:13:13,100p,2440
extraCheck,2017-12-29 16:18:13,398p,2442
packageDone,2017-12-29 16:21:13,398p,2448
collector,2017-12-29 16:25:13,280p,2452
collector,2017-12-29 16:32:13,166p,2460
packageDone,2017-12-29 16:38:13,151p,2454
extraCheck,2017-12-29 16:48:13,220p,2467
packageDone,2017-12-29 17:00:13,220p,2474
collector,2017-12-29 17:04:13,275p,2479
collector,2017-12-29 17:08:13,19p,2488
extraCheck,2017-12-29 17:11:13,417p,2487
packageDone,2017-12-29 17:15:13,417p,2492
extraCheck,2017-12-29 17:23:13,100p,2496
packageDone,2017-12-29 17:34:13,100p,2499
collector,2017-12-29 17:36:13,42p,2507
collector,2017-12-29 17:40:13,401p,2514
packageDone,2017-12-29 17:42:13,280p,2512
extraCheck,2017-12-29 17:50:13,166p,2521
packageDone,2017-12-29 17:56:13,166p,2525
extraCheck,2017-12-29 18:06:13,275p,2532
collector,2017-12-29 18:08:13,429p,2541
collector,2017-12-29 18:18:13,231p,2547
packageDone,2017-12-29 18:21:13,275p,2542
extraCheck,2017-12-29 18:26:13,19p,2558
packageDone,2017-12-29 18:42:13,19p,2559
collector,2017-12-29 18:44:13,351p,2569
extraCheck,2017-12-29 18:46:13,42p,2571
collector,2017-12-29 18:54:13,290p,2582
packageDone,2017-12-29 19:01:13,42p,2575
extraCheck,2017-12-29 19:12:13,401p,2588
collector,2017-12-29 19:20:13,331p,2593
packageDone,2017-12-29 19:25:13,401p,2590
extraCheck,2017-12-29 19:30:13,429p,2602
packageDone,2017-12-29 19:36:13,429p,2603
extraCheck,2017-12-29 19:47:13,231p,2608
packageDone,2017-12-29 19:53:13,231p,2618
extraCheck,2017-12-29 20:03:13,351p,2621
collector,2017-12-29 20:05:13,474p,2627
packageDone,2017-12-29 20:10:13,351p,2629
collector,2017-12-29 20:16:13,150p,2638
extraCheck,2017-12-29 20:21:13,290p,2639
collector,2017-12-29 20:27:13,246p,2645
packageDone,2017-12-29 20:33:13,290p,2642
extraCheck,2017-12-29 20:36:13,331p,2654
packageDone,2017-12-29 20:43:13,331p,2655
extraCheck,2017-12-29 20:54:13,474p,2658
packageDone,2017-12-29 21:04:13,474p,2663
collector,2017-12-29 21:05:13,470p,2669
extraCheck,2017-12-29 21:14:13,150p,2673
packageDone,2017-12-29 21:22:13,150p,2678
extraCheck,2017-12-29 21:25:13,246p,2684
collector,2017-12-29 21:32:13,107p,2687
packageDone,2017-12-29 21:38:13,246p,2685
collector,2017-12-29 21:45:13,76p,2697
extraCheck,2017-12-29 21:46:13,470p,2695
packageDone,2017-12-29 21:56:13,470p,2700
extraCheck,2017-12-29 22:01:13,107p,2706
packageDone,2017-12-29 22:16:13,107p,2708
packageDone,2017-12-29 22:31:13,76p,2720
collector,2017-12-29 22:41:13,175p,2731
collector,2017-12-29 22:52:13,56p,2739
extraCheck,2017-12-29 22:54:13,175p,2734
collector,2017-12-29 23:01:13,161p,2749
packageDone,2017-12-29 23:02:13,175p,2746
extraCheck,2017-12-29 23:08:13,56p,2758
collector,2017-12-29 23:08:13,287p,2757
packageDone,2017-12-29 23:21:13,56p,2759
extraCheck,2017-12-29 23:27:13,161p,2764
packageDone,2017-12-29 23:40:13,161p,2765
extraCheck,2017-12-29 23:42:13,287p,2771
packageDone,2017-12-29 23:48:13,287p,2773
collector,2017-12-29 23:57:13,65p,2780
extraCheck,2017-12-30 00:00:13,65p,2785
packageDone,2017-12-30 00:13:13,65p,2788
collector,2017-12-30 00:31:13,335p,2803
extraCheck,2017-12-30 00:43:13,335p,2807
collector,2017-12-30 00:45:13,471p,2810
packageDone,2017-12-30 00:56:13,335p,2811
extraCheck,2017-12-30 01:05:13,471p,2817
packageDone,2017-12-30 01:09:13,471p,2818
collector,2017-12-30 01:55:13,103p,2835
collector,2017-12-30 01:58:13,187p,2838
extraCheck,2017-12-30 02:02:13,103p,2843
packageDone,2017-12-30 02:12:13,103p,2845
extraCheck,2017-12-30 02:22:13,187p,2849
packageDone,2017-12-30 02:26:13,187p,2850
collector,2017-12-30 03:10:13,108p,2861
extraCheck,2017-12-30 03:20:13,108p,2864
packageDone,2017-12-30 03:35:13,108p,2866
