Chip,Timestamp,Item Id,Entry Id
shelfMoved,2017-12-28 15:52:13,6r,1321
shelfMoved,2017-12-28 16:07:13,7r,1333
shelfMoved,2017-12-28 16:09:13,0r,1335
shelfMoved,2017-12-28 16:19:13,9r,1342
shelfDelivered,2017-12-28 16:20:13,0r,1344
shelfDelivered,2017-12-28 16:23:13,6r,1348
disposeShelf,2017-12-28 16:24:13,0r,1351
disposeShelf,2017-12-28 16:28:13,6r,1356
shelfDelivered,2017-12-28 16:29:13,7r,1357
disposeShelf,2017-12-28 16:32:13,7r,1362
shelfDelivered,2017-12-28 16:37:13,9r,1368
disposeShelf,2017-12-28 16:42:13,9r,1375
shelfMoved,2017-12-28 16:44:13,5r,1378
shelfDelivered,2017-12-28 16:49:13,5r,1386
shelfMoved,2017-12-28 16:51:13,8r,1389
shelfMoved,2017-12-28 16:54:13,4r,1391
disposeShelf,2017-12-28 16:55:13,5r,1392
shelfDelivered,2017-12-28 16:59:13,8r,1397
shelfDelivered,2017-12-28 17:00:13,4r,1401
disposeShelf,2017-12-28 17:03:13,8r,1406
disposeShelf,2017-12-28 17:05:13,4r,1407
shelfMoved,2017-12-28 17:10:13,2r,1412
shelfMoved,2017-12-28 17:21:13,0r,1421
shelfMoved,2017-12-28 17:22:13,3r,1423
shelfDelivered,2017-12-28 17:26:13,2r,1429
disposeShelf,2017-12-28 17:31:13,2r,1433
shelfDelivered,2017-12-28 17:33:13,3r,1435
shelfMoved,2017-12-28 17:35:13,1r,1436
disposeShelf,2017-12-28 17:38:13,3r,1444
shelfDelivered,2017-12-28 17:40:13,0r,1447
disposeShelf,2017-12-28 17:44:13,0r,1454
shelfMoved,2017-12-28 17:49:13,7r,1457
shelfDelivered,2017-12-28 17:54:13,7r,1459
shelfDelivered,2017-12-28 17:57:13,1r,1464
disposeShelf,2017-12-28 17:59:13,7r,1467
disposeShelf,2017-12-28 18:03:13,1r,1472
shelfMoved,2017-12-28 18:08:13,9r,1476
shelfDelivered,2017-12-28 18:19:13,9r,1483
