Shelf Id,Event Id,Timestamp, 
0s,1327,2017-12-28 15:57:13,
11s,1338,2017-12-28 16:12:13,
17s,1343,2017-12-28 16:19:13,
2s,1350,2017-12-28 16:24:13,
0s,1400,2017-12-28 16:59:13,
4s,1402,2017-12-28 17:00:13,
1s,1414,2017-12-28 17:12:13,
20s,1425,2017-12-28 17:23:13,
17s,1446,2017-12-28 17:39:13,
21s,1511,2017-12-28 19:02:13,
7s,1526,2017-12-28 19:20:13,
9s,1548,2017-12-28 19:39:13,
6s,1552,2017-12-28 19:50:13,
8s,1590,2017-12-28 20:33:13,
20s,1613,2017-12-28 21:07:13,
4s,1638,2017-12-28 21:41:13,
9s,1648,2017-12-28 21:49:13,
17s,1652,2017-12-28 21:51:13,
7s,1672,2017-12-28 22:10:13,
12s,1707,2017-12-28 22:46:13,
1s,1716,2017-12-28 22:54:13,
19s,1743,2017-12-28 23:19:13,
20s,1746,2017-12-28 23:24:13,
24s,1768,2017-12-28 23:46:13,
22s,1778,2017-12-28 23:54:13,
1s,1797,2017-12-29 00:33:13,
15s,1812,2017-12-29 01:24:13,
7s,1841,2017-12-29 02:32:13,
11s,1876,2017-12-29 03:32:13,
1s,1902,2017-12-29 04:04:13,
13s,1903,2017-12-29 04:08:13,
24s,1914,2017-12-29 04:24:13,
2s,1962,2017-12-29 05:22:13,
10s,1968,2017-12-29 05:29:13,
23s,1982,2017-12-29 05:49:13,
16s,2036,2017-12-29 06:52:13,
14s,2042,2017-12-29 06:58:13,
22s,2060,2017-12-29 07:25:13,
19s,2086,2017-12-29 08:16:13,
12s,2090,2017-12-29 08:35:13,
15s,2113,2017-12-29 08:52:13,
3s,2169,2017-12-29 10:16:13,
0s,2194,2017-12-29 10:46:13,
6s,2216,2017-12-29 11:26:13,
16s,2228,2017-12-29 11:42:13,
0s,2259,2017-12-29 12:15:13,
7s,2262,2017-12-29 12:19:13,
10s,2271,2017-12-29 12:25:13,
13s,2298,2017-12-29 12:55:13,
2s,2335,2017-12-29 14:00:13,
24s,2378,2017-12-29 15:12:13,
16s,2390,2017-12-29 15:20:13,
17s,2396,2017-12-29 15:29:13,
19s,2444,2017-12-29 16:13:13,
16s,2524,2017-12-29 17:48:13,
15s,2555,2017-12-29 18:22:13,
2s,2573,2017-12-29 18:46:13,
1s,2580,2017-12-29 18:52:13,
23s,2610,2017-12-29 19:38:13,
6s,2632,2017-12-29 20:09:13,
21s,2661,2017-12-29 20:50:13,
0s,2715,2017-12-29 22:16:13,
10s,2721,2017-12-29 22:19:13,
13s,2779,2017-12-29 23:53:13,
12s,2795,2017-12-30 00:15:13,
13s,2799,2017-12-30 00:22:13,
4s,2829,2017-12-30 01:27:13,
11s,2834,2017-12-30 01:53:13,
6s,2857,2017-12-30 02:54:13,
