Case Id,Start Timestamp,End Timesstamp,Event Name,Event Type,Subjec Group,Subject Id,Object Group,Object Id,Event Id
389CP,2017-12-28 15:31:13,2017-12-28 15:41:13,Request product,process activity,clerk,1c,product,389p,1312
389CP,2017-12-28 15:41:13,2017-12-28 15:41:13,Assgin robot,process activity,robot,6r,shelf,0s,1315
483CP,2017-12-28 15:36:13,2017-12-28 15:46:13,Request product,process activity,clerk,1c,product,483p,1313
483CP,2017-12-28 15:46:13,2017-12-28 15:46:13,Assgin robot,process activity,robot,0r,shelf,17s,1317
440CP,2017-12-28 15:30:13,2017-12-28 15:53:13,Request product,process activity,clerk,1c,product,440p,1311
440CP,2017-12-28 15:53:13,2017-12-28 15:53:13,Assgin robot,process activity,robot,7r,shelf,11s,1325
171CP,2017-12-28 15:40:13,2017-12-28 16:01:13,Request product,process activity,clerk,1c,product,171p,1314
171CP,2017-12-28 16:01:13,2017-12-28 16:01:13,Assgin robot,process activity,robot,9r,shelf,2s,1329
395CP,2017-12-28 15:48:13,2017-12-28 16:07:13,Request product,process activity,clerk,1c,product,395p,1320
395CP,2017-12-28 16:08:13,2017-12-28 16:08:13,Assgin robot,process activity,robot,8r,shelf,0s,1334
495CP,2017-12-28 15:52:13,2017-12-28 16:15:13,Request product,process activity,clerk,1c,product,495p,1322
495CP,2017-12-28 16:15:13,2017-12-28 16:15:13,Assgin robot,process activity,robot,3r,shelf,0s,1339
483CP,2017-12-28 16:25:13,2017-12-28 16:25:13,check if the product was shaked,process activity,clerk,1c,product,483p,1354
485CP,2017-12-28 16:17:13,2017-12-28 16:33:13,Request product,process activity,clerk,1c,product,485p,1341
485CP,2017-12-28 16:34:13,2017-12-28 16:34:13,Assgin robot,process activity,robot,5r,shelf,17s,1365
94CP,2017-12-28 16:30:13,2017-12-28 16:39:13,Request product,process activity,clerk,1c,product,94p,1361
94CP,2017-12-28 16:39:13,2017-12-28 16:39:13,Assgin robot,process activity,robot,4r,shelf,4s,1373
483CP,2017-12-28 16:43:13,2017-12-28 16:43:13,Product Delivered,process activity,clerk,1c,product,483p,1377
389CP,2017-12-28 16:45:13,2017-12-28 16:45:13,check if the product was shaked,process activity,clerk,1c,product,389p,1381
317CP,2017-12-28 16:39:13,2017-12-28 16:47:13,Request product,process activity,clerk,1c,product,317p,1372
317CP,2017-12-28 16:47:13,2017-12-28 16:47:13,Assgin robot,process activity,robot,2r,shelf,1s,1385
388CP,2017-12-28 16:57:13,2017-12-28 17:01:13,Request product,process activity,clerk,1c,product,388p,1396
388CP,2017-12-28 17:01:13,2017-12-28 17:01:13,Assgin robot,process activity,robot,0r,shelf,20s,1404
389CP,2017-12-28 17:13:13,2017-12-28 17:13:13,Product Delivered,process activity,clerk,1c,product,389p,1415
440CP,2017-12-28 17:13:13,2017-12-28 17:13:13,check if the product was shaked,process activity,clerk,1c,product,440p,1416
484CP,2017-12-28 17:10:13,2017-12-28 17:24:13,Request product,process activity,clerk,1c,product,484p,1411
484CP,2017-12-28 17:25:13,2017-12-28 17:25:13,Assgin robot,process activity,robot,1r,shelf,17s,1427
440CP,2017-12-28 17:36:13,2017-12-28 17:36:13,Product Delivered,process activity,clerk,1c,product,440p,1439
171CP,2017-12-28 17:37:13,2017-12-28 17:37:13,check if the product was shaked,process activity,clerk,1c,product,171p,1441
254CP,2017-12-28 17:38:13,2017-12-28 17:41:13,Request product,process activity,clerk,1c,product,254p,1443
254CP,2017-12-28 17:42:13,2017-12-28 17:42:13,Assgin robot,process activity,robot,7r,shelf,21s,1452
171CP,2017-12-28 17:54:13,2017-12-28 17:54:13,Product Delivered,process activity,clerk,1c,product,171p,1460
485CP,2017-12-28 17:55:13,2017-12-28 17:55:13,check if the product was shaked,process activity,clerk,1c,product,485p,1462
457CP,2017-12-28 17:57:13,2017-12-28 18:00:13,Request product,process activity,clerk,1c,product,457p,1465
457CP,2017-12-28 18:01:13,2017-12-28 18:01:13,Assgin robot,process activity,robot,9r,shelf,13s,1470
485CP,2017-12-28 18:13:13,2017-12-28 18:13:13,Product Delivered,process activity,clerk,1c,product,485p,1478
