Case Id,Start Timestamp,End Timesstamp,Event Name,Event Type,Subjec Group,Subject Id,Object Group,Object Id,Event Id
389RP,2017-12-28 15:42:13,2017-12-28 15:47:13,putdown current shelf,process activity,robot,6r,shelf,-1s,1316
389RP,2017-12-28 15:47:13,2017-12-28 15:50:13,go to approriate shelf,process activity,robot,6r,shelf,0s,1319
483RP,2017-12-28 15:47:13,2017-12-28 15:52:13,putdown current shelf,process activity,robot,0r,shelf,-1s,1318
440RP,2017-12-28 15:54:13,2017-12-28 15:59:13,putdown current shelf,process activity,robot,7r,shelf,-1s,1326
171RP,2017-12-28 16:01:13,2017-12-28 16:04:13,putdown current shelf,process activity,robot,9r,shelf,-1s,1330
440RP,2017-12-28 15:59:13,2017-12-28 16:06:13,go to approriate shelf,process activity,robot,7r,shelf,11s,1328
483RP,2017-12-28 15:53:13,2017-12-28 16:08:13,go to approriate shelf,process activity,robot,0r,shelf,17s,1323
171RP,2017-12-28 16:04:13,2017-12-28 16:17:13,go to approriate shelf,process activity,robot,9r,shelf,2s,1331
483RP,2017-12-28 16:10:13,2017-12-28 16:19:13,move shelf to dock,process activity,robot,0r,shelf,17s,1336
389RP,2017-12-28 16:06:13,2017-12-28 16:22:13,reduce speed,process activity,robot,6r,shelf,0s,1332
389RP,2017-12-28 15:53:13,2017-12-28 16:22:13,move shelf to dock,process activity,robot,6r,shelf,0s,1324
483RP,2017-12-28 16:25:13,2017-12-28 16:28:13,move shelf from dock,process activity,robot,0r,shelf,17s,1353
440RP,2017-12-28 16:16:13,2017-12-28 16:28:13,reduce speed,process activity,robot,7r,shelf,11s,1340
440RP,2017-12-28 16:10:13,2017-12-28 16:28:13,move shelf to dock,process activity,robot,7r,shelf,11s,1337
171RP,2017-12-28 16:33:13,2017-12-28 16:35:13,reduce speed,process activity,robot,9r,shelf,2s,1364
171RP,2017-12-28 16:21:13,2017-12-28 16:35:13,move shelf to dock,process activity,robot,9r,shelf,2s,1345
389RP,2017-12-28 16:29:13,2017-12-28 16:37:13,move shelf from dock,process activity,robot,6r,shelf,0s,1358
485RP,2017-12-28 16:34:13,2017-12-28 16:37:13,putdown current shelf,process activity,robot,5r,shelf,-1s,1366
94RP,2017-12-28 16:40:13,2017-12-28 16:42:13,putdown current shelf,process activity,robot,4r,shelf,-1s,1374
485RP,2017-12-28 16:38:13,2017-12-28 16:43:13,go to approriate shelf,process activity,robot,5r,shelf,17s,1370
440RP,2017-12-28 16:33:13,2017-12-28 16:46:13,move shelf from dock,process activity,robot,7r,shelf,11s,1363
395RP,2017-12-28 16:44:13,2017-12-28 16:46:13,putdown current shelf,process activity,robot,8r,shelf,-1s,1380
485RP,2017-12-28 16:44:13,2017-12-28 16:47:13,move shelf to dock,process activity,robot,5r,shelf,17s,1379
395RP,2017-12-28 16:46:13,2017-12-28 16:50:13,go to approriate shelf,process activity,robot,8r,shelf,0s,1384
94RP,2017-12-28 16:42:13,2017-12-28 16:52:13,go to approriate shelf,process activity,robot,4r,shelf,4s,1376
317RP,2017-12-28 16:49:13,2017-12-28 16:56:13,putdown current shelf,process activity,robot,2r,shelf,-1s,1387
395RP,2017-12-28 16:52:13,2017-12-28 16:57:13,move shelf to dock,process activity,robot,8r,shelf,0s,1390
171RP,2017-12-28 16:46:13,2017-12-28 17:00:13,move shelf from dock,process activity,robot,9r,shelf,2s,1383
94RP,2017-12-28 16:55:13,2017-12-28 17:00:13,move shelf to dock,process activity,robot,4r,shelf,4s,1393
388RP,2017-12-28 17:01:13,2017-12-28 17:06:13,putdown current shelf,process activity,robot,0r,shelf,17s,1405
485RP,2017-12-28 16:56:13,2017-12-28 17:06:13,move shelf from dock,process activity,robot,5r,shelf,17s,1394
317RP,2017-12-28 16:57:13,2017-12-28 17:10:13,go to approriate shelf,process activity,robot,2r,shelf,1s,1395
94RP,2017-12-28 17:06:13,2017-12-28 17:18:13,move shelf from dock,process activity,robot,4r,shelf,4s,1409
