Event Id,Chip,Timestamp,Product Id
1351CR,collector,2017-12-15 10:43:18,2211p
1368CR,collector,2017-12-15 11:11:18,4293p
1384CR,collector,2017-12-15 11:22:18,8427p
1387CR,collector,2017-12-15 11:28:18,7060p
1412CR,collector,2017-12-15 11:32:18,8475p
1400CR,extraCheck,2017-12-15 11:48:18,2211p
1443CR,collector,2017-12-15 12:07:18,9441p
1456CR,packageDone,2017-12-15 13:45:18,2211p
1606CR,collector,2017-12-15 15:20:18,7607p
1587CR,collector,2017-12-15 15:28:18,3480p
1571CR,collector,2017-12-15 15:31:18,5293p
1546CR,collector,2017-12-15 15:45:18,8816p
1527CR,collector,2017-12-15 16:03:18,1157p
1882CR,collector,2017-12-15 16:23:18,7682p
1876CR,collector,2017-12-15 16:31:18,764p
1860CR,collector,2017-12-15 16:39:18,3896p
1832CR,collector,2017-12-15 16:58:18,5091p
1831CR,collector,2017-12-15 17:01:18,8033p
1818CR,collector,2017-12-15 17:07:18,6879p
1819CR,collector,2017-12-15 17:12:18,7541p
1803CR,collector,2017-12-15 17:29:18,7102p
1790CR,collector,2017-12-15 17:34:18,6966p
1770CR,collector,2017-12-15 17:38:18,7325p
1738CR,collector,2017-12-15 17:41:18,4178p
1733CR,collector,2017-12-15 17:41:18,5057p
2013CR,collector,2017-12-15 17:45:18,3088p
1690CR,collector,2017-12-15 17:49:18,2568p
1684CR,collector,2017-12-15 17:54:18,7870p
2025CR,collector,2017-12-15 17:58:18,9968p
2024CR,collector,2017-12-15 17:58:18,8247p
2021CR,collector,2017-12-15 18:00:18,8205p
2023CR,collector,2017-12-15 18:01:18,8690p
2019CR,collector,2017-12-15 18:03:18,3725p
2017CR,collector,2017-12-15 18:04:18,8955p
2018CR,collector,2017-12-15 18:04:18,4525p
2015CR,collector,2017-12-15 18:04:18,141p
2010CR,collector,2017-12-15 18:04:18,697p
2005CR,collector,2017-12-15 18:07:18,2127p
1992CR,collector,2017-12-15 18:12:18,5786p
1985CR,collector,2017-12-15 18:14:18,2533p
1978CR,collector,2017-12-15 18:19:18,2952p
1974CR,collector,2017-12-15 18:22:18,9598p
1948CR,collector,2017-12-15 18:22:18,1178p
1944CR,collector,2017-12-15 18:24:18,6620p
1940CR,collector,2017-12-15 18:26:18,1848p
1934CR,collector,2017-12-15 18:29:18,482p
1926CR,collector,2017-12-15 18:33:18,8663p
1918CR,collector,2017-12-15 18:34:18,8052p
1910CR,collector,2017-12-15 18:35:18,2154p
1893CR,collector,2017-12-15 18:36:18,6034p
2095CR,collector,2017-12-15 18:40:18,3116p
2085CR,collector,2017-12-15 18:40:18,8101p
2077CR,collector,2017-12-15 18:40:18,6928p
2072CR,collector,2017-12-15 18:44:18,2031p
2070CR,collector,2017-12-15 18:46:18,324p
2066CR,collector,2017-12-15 18:48:18,1202p
2062CR,collector,2017-12-15 18:50:18,1563p
2064CR,collector,2017-12-15 18:50:18,499p
2060CR,collector,2017-12-15 18:55:18,3828p
2056CR,collector,2017-12-15 18:58:18,9891p
2028CR,packageDone,2017-12-15 19:00:18,4293p
2036CR,collector,2017-12-15 19:00:18,6477p
2102CR,collector,2017-12-15 19:02:18,7806p
2099CR,collector,2017-12-15 19:05:18,1011p
2128CR,collector,2017-12-15 19:10:18,651p
2160CR,collector,2017-12-15 19:25:18,4230p
2156CR,packageDone,2017-12-15 19:28:18,8427p
2209CR,collector,2017-12-15 20:18:18,2253p
2200CR,extraCheck,2017-12-15 20:20:18,7060p
2251CR,collector,2017-12-15 20:20:18,6306p
2250CR,collector,2017-12-15 20:26:18,7886p
2243CR,collector,2017-12-15 20:27:18,8230p
2228CR,collector,2017-12-15 20:42:18,9500p
2276CR,collector,2017-12-15 20:44:18,8628p
2273CR,collector,2017-12-15 20:46:18,7670p
2265CR,collector,2017-12-15 20:49:18,8315p
2259CR,collector,2017-12-15 20:49:18,228p
2248CR,collector,2017-12-15 20:55:18,8176p
2297CR,collector,2017-12-15 20:58:18,8499p
2293CR,collector,2017-12-15 21:00:18,1048p
2291CR,collector,2017-12-15 21:06:18,8487p
2284CR,collector,2017-12-15 21:08:18,1570p
2302CR,packageDone,2017-12-15 21:12:18,7060p
2318CR,collector,2017-12-15 21:12:18,1378p
2323CR,collector,2017-12-15 21:16:18,94p
2332CR,collector,2017-12-15 21:21:18,1081p
2326CR,extraCheck,2017-12-15 21:23:18,8475p
2338CR,packageDone,2017-12-15 21:27:18,8475p
2345CR,extraCheck,2017-12-15 21:40:18,9441p
2347CR,packageDone,2017-12-15 21:49:18,9441p
2359CR,collector,2017-12-15 22:00:18,981p
2363CR,collector,2017-12-15 22:02:18,2570p
2375CR,extraCheck,2017-12-15 22:21:18,6477p
2382CR,packageDone,2017-12-15 22:35:18,6477p
2395CR,collector,2017-12-15 22:36:18,9192p
2398CR,collector,2017-12-15 22:36:18,670p
2408CR,extraCheck,2017-12-15 22:43:18,7607p
2412CR,packageDone,2017-12-15 22:47:18,7607p
2419CR,collector,2017-12-15 22:48:18,7180p
2422CR,extraCheck,2017-12-15 22:51:18,3480p
2426CR,packageDone,2017-12-15 23:05:18,3480p
2443CR,collector,2017-12-15 23:13:18,7677p
2446CR,collector,2017-12-15 23:14:18,204p
2439CR,extraCheck,2017-12-15 23:18:18,5293p
2452CR,collector,2017-12-15 23:21:18,6193p
2455CR,packageDone,2017-12-15 23:24:18,5293p
2467CR,collector,2017-12-15 23:32:18,376p
2463CR,packageDone,2017-12-15 23:39:18,8816p
2474CR,packageDone,2017-12-15 23:46:18,1157p
2484CR,extraCheck,2017-12-15 23:58:18,7682p
2489CR,collector,2017-12-16 00:04:18,8146p
2487CR,packageDone,2017-12-16 00:06:18,7682p
2502CR,packageDone,2017-12-16 00:20:18,764p
2522CR,collector,2017-12-16 00:29:18,5490p
2518CR,extraCheck,2017-12-16 00:31:18,3896p
2529CR,packageDone,2017-12-16 00:43:18,3896p
2538CR,collector,2017-12-16 00:44:18,5041p
