Event Id,Chip Name,Timestamp,Item Id
1358RR,disposeShelf,2017-12-15 10:46:18,68r
1401RR,disposeShelf,2017-12-15 11:14:18,80r
1417RR,disposeShelf,2017-12-15 11:23:18,41r
1430RR,disposeShelf,2017-12-15 11:33:18,72r
1444RR,disposeShelf,2017-12-15 11:41:18,44r
1511RR,disposeShelf,2017-12-15 12:29:18,24r
1802RR,disposeShelf,2017-12-15 15:21:18,73r
1817RR,disposeShelf,2017-12-15 15:31:18,28r
1830RR,disposeShelf,2017-12-15 15:40:18,19r
1859RR,disposeShelf,2017-12-15 16:00:18,95r
1875RR,disposeShelf,2017-12-15 16:13:18,10r
1905RR,disposeShelf,2017-12-15 16:33:18,94r
1909RR,disposeShelf,2017-12-15 16:36:18,61r
1919RR,disposeShelf,2017-12-15 16:41:18,6r
1953RR,disposeShelf,2017-12-15 17:01:18,2r
1962RR,disposeShelf,2017-12-15 17:07:18,36r
1969RR,disposeShelf,2017-12-15 17:12:18,18r
1973RR,disposeShelf,2017-12-15 17:14:18,82r
1991RR,disposeShelf,2017-12-15 17:30:18,23r
2000RR,disposeShelf,2017-12-15 17:37:18,17r
2003RR,disposeShelf,2017-12-15 17:39:18,78r
2009RR,disposeShelf,2017-12-15 17:42:18,69r
2011RR,disposeShelf,2017-12-15 17:43:18,40r
2020RR,disposeShelf,2017-12-15 17:47:18,25r
2027RR,disposeShelf,2017-12-15 17:51:18,81r
2035RR,disposeShelf,2017-12-15 17:57:18,71r
2038RR,disposeShelf,2017-12-15 17:59:18,54r
2040RR,disposeShelf,2017-12-15 18:00:18,53r
2043RR,disposeShelf,2017-12-15 18:01:18,39r
2046RR,disposeShelf,2017-12-15 18:03:18,11r
2049RR,disposeShelf,2017-12-15 18:05:18,65r
2050RR,disposeShelf,2017-12-15 18:07:18,89r
2051RR,disposeShelf,2017-12-15 18:07:18,57r
2055RR,disposeShelf,2017-12-15 18:10:18,8r
2061RR,disposeShelf,2017-12-15 18:14:18,5r
2065RR,disposeShelf,2017-12-15 18:17:18,1r
2069RR,disposeShelf,2017-12-15 18:20:18,56r
2073RR,disposeShelf,2017-12-15 18:22:18,66r
2078RR,disposeShelf,2017-12-15 18:24:18,59r
2079RR,disposeShelf,2017-12-15 18:26:18,97r
2081RR,disposeShelf,2017-12-15 18:28:18,30r
2086RR,disposeShelf,2017-12-15 18:31:18,55r
2091RR,disposeShelf,2017-12-15 18:34:18,52r
2093RR,disposeShelf,2017-12-15 18:35:18,34r
2094RR,disposeShelf,2017-12-15 18:35:18,79r
2098RR,disposeShelf,2017-12-15 18:38:18,74r
2103RR,disposeShelf,2017-12-15 18:41:18,99r
2105RR,disposeShelf,2017-12-15 18:44:18,20r
2108RR,disposeShelf,2017-12-15 18:46:18,9r
2111RR,disposeShelf,2017-12-15 18:48:18,51r
2114RR,disposeShelf,2017-12-15 18:49:18,70r
2118RR,disposeShelf,2017-12-15 18:53:18,67r
2120RR,disposeShelf,2017-12-15 18:55:18,29r
2125RR,disposeShelf,2017-12-15 18:58:18,47r
2127RR,disposeShelf,2017-12-15 18:59:18,12r
2132RR,disposeShelf,2017-12-15 19:02:18,27r
2135RR,disposeShelf,2017-12-15 19:05:18,85r
2136RR,disposeShelf,2017-12-15 19:05:18,63r
2155RR,disposeShelf,2017-12-15 19:16:18,87r
2173RR,disposeShelf,2017-12-15 19:28:18,64r
2252RR,disposeShelf,2017-12-15 20:19:18,88r
2258RR,disposeShelf,2017-12-15 20:24:18,92r
2264RR,disposeShelf,2017-12-15 20:28:18,15r
2266RR,disposeShelf,2017-12-15 20:30:18,96r
2283RR,disposeShelf,2017-12-15 20:42:18,21r
2288RR,disposeShelf,2017-12-15 20:46:18,84r
2290RR,disposeShelf,2017-12-15 20:47:18,0r
2295RR,disposeShelf,2017-12-15 20:51:18,68r
2296RR,disposeShelf,2017-12-15 20:52:18,80r
2303RR,disposeShelf,2017-12-15 20:57:18,60r
2306RR,disposeShelf,2017-12-15 20:59:18,77r
2308RR,disposeShelf,2017-12-15 21:02:18,37r
2315RR,disposeShelf,2017-12-15 21:08:18,49r
2317RR,disposeShelf,2017-12-15 21:09:18,14r
2327RR,disposeShelf,2017-12-15 21:15:18,86r
2330RR,disposeShelf,2017-12-15 21:19:18,90r
2336RR,disposeShelf,2017-12-15 21:23:18,62r
2364RR,disposeShelf,2017-12-15 22:02:18,72r
2367RR,disposeShelf,2017-12-15 22:04:18,44r
2401RR,disposeShelf,2017-12-15 22:36:18,24r
2403RR,disposeShelf,2017-12-15 22:38:18,50r
2423RR,disposeShelf,2017-12-15 22:50:18,41r
2447RR,disposeShelf,2017-12-15 23:14:18,33r
2451RR,disposeShelf,2017-12-15 23:18:18,16r
2458RR,disposeShelf,2017-12-15 23:23:18,27r
2468RR,disposeShelf,2017-12-15 23:33:18,75r
2496RR,disposeShelf,2017-12-16 00:06:18,28r
2525RR,disposeShelf,2017-12-16 00:29:18,19r
2543RR,disposeShelf,2017-12-16 00:46:18,7r
2552RR,disposeShelf,2017-12-16 00:54:18,73r
2569RR,disposeShelf,2017-12-16 01:11:18,26r
2574RR,disposeShelf,2017-12-16 01:13:18,61r
2579RR,disposeShelf,2017-12-16 01:21:18,46r
2590RR,disposeShelf,2017-12-16 01:35:18,6r
2605RR,disposeShelf,2017-12-16 01:57:18,36r
2637RR,disposeShelf,2017-12-16 02:30:18,58r
2646RR,disposeShelf,2017-12-16 02:41:18,18r
2655RR,disposeShelf,2017-12-16 02:57:18,82r
2677RR,disposeShelf,2017-12-16 03:22:18,23r
2709RR,disposeShelf,2017-12-16 03:49:18,17r
2720RR,disposeShelf,2017-12-16 03:55:18,32r
2738RR,disposeShelf,2017-12-16 04:09:18,4r
2759RR,disposeShelf,2017-12-16 04:26:18,78r
2764RR,disposeShelf,2017-12-16 04:28:18,48r
2768RR,disposeShelf,2017-12-16 04:31:18,31r
2780RR,disposeShelf,2017-12-16 04:41:18,69r
2809RR,disposeShelf,2017-12-16 05:11:18,38r
2832RR,disposeShelf,2017-12-16 05:27:18,3r
2834RR,disposeShelf,2017-12-16 05:28:18,25r
2847RR,disposeShelf,2017-12-16 05:39:18,54r
2848RR,disposeShelf,2017-12-16 05:41:18,81r
2858RR,disposeShelf,2017-12-16 05:55:18,71r
2902RR,disposeShelf,2017-12-16 07:06:18,11r
2907RR,disposeShelf,2017-12-16 07:09:18,95r
2931RR,disposeShelf,2017-12-16 07:31:18,35r
2947RR,disposeShelf,2017-12-16 07:43:18,10r
2963RR,disposeShelf,2017-12-16 07:57:18,42r
2970RR,disposeShelf,2017-12-16 08:02:18,65r
2971RR,disposeShelf,2017-12-16 08:04:18,43r
2984RR,disposeShelf,2017-12-16 08:16:18,89r
2990RR,disposeShelf,2017-12-16 08:23:18,57r
3008RR,disposeShelf,2017-12-16 08:49:18,8r
3047RR,disposeShelf,2017-12-16 09:31:18,1r
3063RR,disposeShelf,2017-12-16 09:45:18,13r
3066RR,disposeShelf,2017-12-16 09:48:18,66r
3082RR,disposeShelf,2017-12-16 10:04:18,97r
3106RR,disposeShelf,2017-12-16 10:30:18,59r
3118RR,disposeShelf,2017-12-16 10:38:18,98r
3136RR,disposeShelf,2017-12-16 11:04:18,52r
3171RR,disposeShelf,2017-12-16 11:44:18,34r
3181RR,disposeShelf,2017-12-16 11:50:18,91r
3184RR,disposeShelf,2017-12-16 11:53:18,2r
3185RR,disposeShelf,2017-12-16 11:55:18,79r
3239RR,disposeShelf,2017-12-16 12:58:18,99r
3259RR,disposeShelf,2017-12-16 13:17:18,9r
3272RR,disposeShelf,2017-12-16 13:34:18,51r
3281RR,disposeShelf,2017-12-16 13:50:18,53r
3302RR,disposeShelf,2017-12-16 14:18:18,70r
3329RR,disposeShelf,2017-12-16 14:44:18,29r
3354RR,disposeShelf,2017-12-16 15:00:18,12r
3372RR,disposeShelf,2017-12-16 15:11:18,67r
3385RR,disposeShelf,2017-12-16 15:18:18,5r
3387RR,disposeShelf,2017-12-16 15:19:18,47r
3400RR,disposeShelf,2017-12-16 15:29:18,55r
3403RR,disposeShelf,2017-12-16 15:32:18,56r
3404RR,disposeShelf,2017-12-16 15:32:18,30r
3436RR,disposeShelf,2017-12-16 16:00:18,20r
3449RR,disposeShelf,2017-12-16 16:07:18,81r
3466RR,disposeShelf,2017-12-16 16:22:18,74r
3470RR,disposeShelf,2017-12-16 16:25:18,39r
3474RR,disposeShelf,2017-12-16 16:28:18,40r
3483RR,disposeShelf,2017-12-16 16:38:18,17r
3519RR,disposeShelf,2017-12-16 17:20:18,76r
3527RR,disposeShelf,2017-12-16 17:27:18,24r
3543RR,disposeShelf,2017-12-16 17:42:18,63r
3545RR,disposeShelf,2017-12-16 17:44:18,87r
3554RR,disposeShelf,2017-12-16 17:52:18,85r
3588RR,disposeShelf,2017-12-16 19:00:18,92r
3602RR,disposeShelf,2017-12-16 19:19:18,15r
3632RR,disposeShelf,2017-12-16 19:47:18,96r
3647RR,disposeShelf,2017-12-16 20:02:18,21r
3663RR,disposeShelf,2017-12-16 20:23:18,0r
3668RR,disposeShelf,2017-12-16 20:26:18,84r
3698RR,disposeShelf,2017-12-16 21:03:18,80r
3724RR,disposeShelf,2017-12-16 21:31:18,60r
3741RR,disposeShelf,2017-12-16 21:44:18,77r
3757RR,disposeShelf,2017-12-16 22:07:18,49r
3774RR,disposeShelf,2017-12-16 22:30:18,14r
3788RR,disposeShelf,2017-12-16 22:48:18,86r
3808RR,disposeShelf,2017-12-16 23:17:18,90r
3831RR,disposeShelf,2017-12-16 23:42:18,44r
3866RR,disposeShelf,2017-12-17 00:12:18,37r
3873RR,disposeShelf,2017-12-17 00:16:18,72r
3875RR,disposeShelf,2017-12-17 00:18:18,68r
3876RR,disposeShelf,2017-12-17 00:20:18,95r
