Event Id,Chip Name,Timestamp,Item Id
1319SR,shelfMoved,2017-12-15 10:13:18,193s
1345SR,shelfMoved,2017-12-15 10:36:18,305s
1347SR,shelfDelivered,2017-12-15 10:37:18,193s
1350SR,shelfMoved,2017-12-15 10:40:18,441s
1357SR,shelfMoved,2017-12-15 10:44:18,128s
1359SR,shelfMoved,2017-12-15 10:48:18,465s
1363SR,shelfDelivered,2017-12-15 10:51:18,441s
1364SR,shelfMoved,2017-12-15 10:52:18,165s
1367SR,shelfDelivered,2017-12-15 10:54:18,128s
1370SR,shelfMoved,2017-12-15 10:57:18,361s
1380SR,shelfDelivered,2017-12-15 11:01:18,465s
1386SR,shelfMoved,2017-12-15 11:05:18,19s
1390SR,shelfDelivered,2017-12-15 11:08:18,305s
1409SR,shelfDelivered,2017-12-15 11:19:18,165s
1425SR,shelfDelivered,2017-12-15 11:30:18,361s
1426SR,shelfMoved,2017-12-15 11:31:18,160s
1435SR,shelfMoved,2017-12-15 11:36:18,86s
1455SR,shelfDelivered,2017-12-15 11:48:18,19s
1460SR,shelfMoved,2017-12-15 11:51:18,357s
1461SR,shelfMoved,2017-12-15 11:53:18,20s
1468SR,shelfMoved,2017-12-15 11:57:18,483s
1481SR,shelfMoved,2017-12-15 12:04:18,422s
1484SR,shelfDelivered,2017-12-15 12:07:18,160s
1485SR,shelfMoved,2017-12-15 12:08:18,72s
1491SR,shelfDelivered,2017-12-15 12:12:18,357s
1493SR,shelfMoved,2017-12-15 12:14:18,174s
1494SR,shelfMoved,2017-12-15 12:15:18,384s
1495SR,shelfMoved,2017-12-15 12:17:18,38s
1502SR,shelfDelivered,2017-12-15 12:21:18,483s
1506SR,shelfMoved,2017-12-15 12:24:18,297s
1508SR,shelfDelivered,2017-12-15 12:26:18,422s
1509SR,shelfMoved,2017-12-15 12:27:18,240s
1510SR,shelfDelivered,2017-12-15 12:28:18,20s
1520SR,shelfDelivered,2017-12-15 12:32:18,174s
1526SR,shelfDelivered,2017-12-15 12:36:18,38s
1537SR,shelfMoved,2017-12-15 12:42:18,287s
1542SR,shelfDelivered,2017-12-15 12:45:18,72s
1548SR,shelfMoved,2017-12-15 12:47:18,90s
1550SR,shelfMoved,2017-12-15 12:49:18,440s
1557SR,shelfDelivered,2017-12-15 12:54:18,384s
1559SR,shelfDelivered,2017-12-15 12:56:18,287s
1575SR,shelfDelivered,2017-12-15 13:03:18,86s
1576SR,shelfMoved,2017-12-15 13:05:18,39s
1579SR,shelfDelivered,2017-12-15 13:07:18,240s
1581SR,shelfMoved,2017-12-15 13:09:18,307s
1586SR,shelfMoved,2017-12-15 13:12:18,396s
1595SR,shelfMoved,2017-12-15 13:18:18,189s
1596SR,shelfDelivered,2017-12-15 13:19:18,90s
1604SR,shelfMoved,2017-12-15 13:23:18,491s
1613SR,shelfDelivered,2017-12-15 13:28:18,297s
1615SR,shelfMoved,2017-12-15 13:30:18,497s
1624SR,shelfMoved,2017-12-15 13:35:18,442s
1634SR,shelfDelivered,2017-12-15 13:40:18,39s
1645SR,shelfDelivered,2017-12-15 13:47:18,396s
1648SR,shelfDelivered,2017-12-15 13:49:18,440s
1651SR,shelfMoved,2017-12-15 13:51:18,446s
1654SR,shelfMoved,2017-12-15 13:51:18,376s
1655SR,shelfMoved,2017-12-15 13:53:18,414s
1660SR,shelfMoved,2017-12-15 13:57:18,122s
1666SR,shelfMoved,2017-12-15 14:01:18,216s
1671SR,shelfMoved,2017-12-15 14:04:18,43s
1674SR,shelfDelivered,2017-12-15 14:05:18,189s
1676SR,shelfMoved,2017-12-15 14:07:18,50s
1678SR,shelfMoved,2017-12-15 14:10:18,21s
1682SR,shelfDelivered,2017-12-15 14:12:18,497s
1689SR,shelfMoved,2017-12-15 14:16:18,386s
1699SR,shelfMoved,2017-12-15 14:22:18,129s
1700SR,shelfDelivered,2017-12-15 14:23:18,122s
1703SR,shelfDelivered,2017-12-15 14:25:18,414s
1705SR,shelfDelivered,2017-12-15 14:27:18,216s
1708SR,shelfMoved,2017-12-15 14:29:18,62s
1715SR,shelfDelivered,2017-12-15 14:33:18,446s
1719SR,shelfMoved,2017-12-15 14:36:18,142s
1721SR,shelfDelivered,2017-12-15 14:37:18,376s
1722SR,shelfDelivered,2017-12-15 14:38:18,491s
1723SR,shelfDelivered,2017-12-15 14:39:18,21s
1724SR,shelfMoved,2017-12-15 14:41:18,116s
1728SR,shelfDelivered,2017-12-15 14:43:18,62s
1731SR,shelfDelivered,2017-12-15 14:45:18,43s
1734SR,shelfDelivered,2017-12-15 14:47:18,129s
1736SR,shelfMoved,2017-12-15 14:49:18,489s
1743SR,shelfDelivered,2017-12-15 14:53:18,442s
1751SR,shelfMoved,2017-12-15 14:56:18,281s
1758SR,shelfMoved,2017-12-15 15:00:18,227s
1769SR,shelfMoved,2017-12-15 15:05:18,41s
1785SR,shelfMoved,2017-12-15 15:14:18,424s
1786SR,shelfMoved,2017-12-15 15:14:18,3s
1804SR,shelfDelivered,2017-12-15 15:23:18,116s
1805SR,shelfDelivered,2017-12-15 15:24:18,386s
1809SR,shelfDelivered,2017-12-15 15:26:18,142s
1810SR,shelfDelivered,2017-12-15 15:27:18,281s
1811SR,shelfMoved,2017-12-15 15:28:18,371s
1824SR,shelfMoved,2017-12-15 15:34:18,308s
1827SR,shelfMoved,2017-12-15 15:36:18,350s
1829SR,shelfMoved,2017-12-15 15:38:18,204s
1833SR,shelfMoved,2017-12-15 15:42:18,238s
1835SR,shelfDelivered,2017-12-15 15:44:18,489s
1841SR,shelfDelivered,2017-12-15 15:47:18,308s
1846SR,shelfDelivered,2017-12-15 15:49:18,41s
1848SR,shelfDelivered,2017-12-15 15:51:18,3s
1855SR,shelfDelivered,2017-12-15 15:56:18,371s
1857SR,shelfMoved,2017-12-15 15:57:18,231s
1858SR,shelfDelivered,2017-12-15 15:59:18,424s
1872SR,shelfDelivered,2017-12-15 16:10:18,204s
1886SR,shelfMoved,2017-12-15 16:19:18,56s
1888SR,shelfDelivered,2017-12-15 16:21:18,238s
1894SR,shelfDelivered,2017-12-15 16:24:18,350s
1896SR,shelfDelivered,2017-12-15 16:26:18,231s
1904SR,shelfDelivered,2017-12-15 16:31:18,56s
1912SR,shelfMoved,2017-12-15 16:37:18,419s
1920SR,shelfMoved,2017-12-15 16:43:18,46s
1928SR,shelfMoved,2017-12-15 16:47:18,52s
1938SR,shelfDelivered,2017-12-15 16:51:18,52s
1942SR,shelfMoved,2017-12-15 16:53:18,42s
1946SR,shelfMoved,2017-12-15 16:57:18,364s
1950SR,shelfDelivered,2017-12-15 16:58:18,419s
1951SR,shelfMoved,2017-12-15 17:00:18,135s
1960SR,shelfMoved,2017-12-15 17:05:18,49s
1965SR,shelfMoved,2017-12-15 17:08:18,73s
1966SR,shelfMoved,2017-12-15 17:10:18,229s
1976SR,shelfDelivered,2017-12-15 17:16:18,73s
1979SR,shelfDelivered,2017-12-15 17:19:18,364s
1980SR,shelfDelivered,2017-12-15 17:20:18,42s
1981SR,shelfDelivered,2017-12-15 17:22:18,46s
1986SR,shelfDelivered,2017-12-15 17:25:18,229s
1994SR,shelfDelivered,2017-12-15 17:32:18,135s
1996SR,shelfDelivered,2017-12-15 17:34:18,49s
2007SR,shelfMoved,2017-12-15 17:41:18,70s
2031SR,shelfDelivered,2017-12-15 17:54:18,70s
2045SR,shelfMoved,2017-12-15 18:02:18,153s
2057SR,shelfDelivered,2017-12-15 18:11:18,153s
2087SR,shelfMoved,2017-12-15 18:32:18,245s
2149SR,shelfDelivered,2017-12-15 19:12:18,245s
2162SR,shelfMoved,2017-12-15 19:20:18,58s
2164SR,shelfMoved,2017-12-15 19:23:18,321s
2175SR,shelfMoved,2017-12-15 19:30:18,307s
2177SR,shelfMoved,2017-12-15 19:32:18,39s
2179SR,shelfMoved,2017-12-15 19:33:18,440s
2184SR,shelfMoved,2017-12-15 19:36:18,19s
2185SR,shelfMoved,2017-12-15 19:37:18,424s
2193SR,shelfDelivered,2017-12-15 19:42:18,321s
2196SR,shelfMoved,2017-12-15 19:45:18,174s
2197SR,shelfDelivered,2017-12-15 19:46:18,440s
2201SR,shelfDelivered,2017-12-15 19:49:18,58s
2202SR,shelfMoved,2017-12-15 19:49:18,207s
2210SR,shelfMoved,2017-12-15 19:54:18,86s
2213SR,shelfMoved,2017-12-15 19:56:18,54s
2215SR,shelfDelivered,2017-12-15 19:57:18,39s
2217SR,shelfDelivered,2017-12-15 19:58:18,307s
2224SR,shelfDelivered,2017-12-15 20:01:18,424s
2229SR,shelfMoved,2017-12-15 20:04:18,176s
2230SR,shelfMoved,2017-12-15 20:06:18,46s
2232SR,shelfDelivered,2017-12-15 20:08:18,86s
2238SR,shelfDelivered,2017-12-15 20:11:18,19s
2242SR,shelfDelivered,2017-12-15 20:14:18,207s
2253SR,shelfDelivered,2017-12-15 20:20:18,54s
2255SR,shelfDelivered,2017-12-15 20:21:18,46s
2261SR,shelfMoved,2017-12-15 20:25:18,108s
2267SR,shelfDelivered,2017-12-15 20:32:18,174s
2269SR,shelfDelivered,2017-12-15 20:33:18,108s
2275SR,shelfMoved,2017-12-15 20:37:18,357s
2277SR,shelfDelivered,2017-12-15 20:39:18,176s
2299SR,shelfMoved,2017-12-15 20:55:18,130s
2307SR,shelfMoved,2017-12-15 21:00:18,479s
2310SR,shelfDelivered,2017-12-15 21:04:18,357s
2321SR,shelfDelivered,2017-12-15 21:12:18,479s
2329SR,shelfDelivered,2017-12-15 21:17:18,130s
2341SR,shelfMoved,2017-12-15 21:29:18,445s
2354SR,shelfMoved,2017-12-15 21:56:18,82s
2356SR,shelfDelivered,2017-12-15 21:56:18,445s
2361SR,shelfDelivered,2017-12-15 22:00:18,82s
2369SR,shelfMoved,2017-12-15 22:06:18,414s
2379SR,shelfMoved,2017-12-15 22:19:18,58s
