Product,Price,Shelf,ExtraCheck
61,28.68,193,true
438,92.71,193,true
960,34.67,193,true
1465,97.57,193,true
1736,26.59,193,true
2211,41.35,193,true
2243,35.69,193,true
2374,89.65,193,true
2565,93.48,193,true
2631,49.0,193,true
3840,47.24,193,true
4141,21.96,193,true
4695,67.95,193,true
5546,78.58,193,true
5557,47.27,193,true
7248,25.99,193,true
7250,48.5,193,true
7507,98.61,193,true
7756,26.61,193,true
8163,45.74,193,true
4293,47.69,441,false
8427,69.6,128,false
731,20.37,465,true
1023,37.69,465,true
2303,98.07,465,true
2758,85.05,465,true
4359,50.85,465,true
6192,88.11,465,true
6685,90.56,465,true
6818,37.13,465,true
6900,25.38,465,true
7060,88.65,465,true
7108,20.89,465,true
7499,50.58,465,true
7535,98.9,465,true
7661,37.35,465,true
8391,61.0,465,true
8430,71.9,465,true
8776,80.89,465,true
9028,42.19,465,true
9039,91.06,465,true
9140,42.5,465,true
3019,58.97,305,true
3392,61.85,305,true
3423,93.13,305,true
3505,24.19,305,true
4387,52.89,305,true
4416,54.19,305,true
5882,55.08,305,true
374,26.2,165,true
383,95.23,165,true
1018,36.83,165,true
2382,87.96,165,true
2472,21.35,165,true
4523,92.26,165,true
5276,22.03,165,true
5426,89.97,165,true
5721,95.17,165,true
5834,33.09,165,true
6189,25.19,165,true
7134,40.12,165,true
7228,99.27,165,true
8075,82.5,165,true
9018,87.01,165,true
9403,87.22,165,true
9441,91.65,165,true
9450,94.03,165,true
6221,47.29,305,true
6683,60.98,305,true
7020,64.52,305,true
7299,79.22,305,true
7833,56.99,305,true
7854,69.37,305,true
7858,72.25,305,true
8053,26.86,305,true
8475,43.27,305,true
8528,62.61,305,true
8547,67.91,305,true
8763,89.05,305,true
9045,48.22,305,true
9559,36.4,165,true
9578,41.0,165,true
20,40.17,361,true
332,42.99,361,true
733,65.26,361,true
869,30.13,361,true
1246,66.74,361,true
1934,61.98,361,true
2345,77.08,361,true
3565,73.49,361,true
5079,20.59,361,true
5588,93.83,361,true
6104,54.51,361,true
6859,67.29,361,true
6989,23.52,361,true
7450,68.48,361,true
7746,63.08,361,true
8074,32.37,361,true
8270,77.13,361,true
8606,27.79,361,true
8892,44.21,361,true
9120,66.76,361,true
600,24.33,19,true
774,57.8,19,true
162,69.83,354,true
1052,54.24,354,true
1091,81.49,354,true
1192,93.14,354,true
1809,39.52,354,true
2765,83.42,354,true
3202,99.18,354,true
3344,44.86,354,true
3432,87.58,354,true
3771,91.97,354,true
5329,72.09,354,true
5578,97.07,354,true
6652,33.41,354,true
6927,36.15,354,true
6968,78.81,354,true
6982,47.21,354,true
901,72.41,19,true
999,32.32,19,true
1356,81.09,19,true
3073,37.03,19,true
3187,59.6,19,true
3204,81.34,19,true
1157,44.46,20,false
3633,99.19,19,true
3732,71.99,19,true
3851,84.67,19,true
7988,78.04,354,true
8537,39.69,354,true
8929,40.73,354,true
9006,83.42,354,true
4768,68.37,19,true
5289,90.87,19,true
5917,98.8,19,true
7061,52.12,19,true
7241,34.28,19,true
7670,33.13,19,true
7694,86.78,19,true
7870,20.96,19,true
8272,80.51,19,true
161,82.32,160,true
272,59.24,160,true
1340,42.78,160,true
1504,67.12,160,true
1976,47.37,160,true
2150,70.73,160,true
2401,33.89,160,true
3242,91.45,160,true
3271,50.59,160,true
3338,84.37,160,true
3939,48.52,160,true
4062,38.78,160,true
4704,47.84,160,true
5133,86.64,160,true
5333,22.85,160,true
6236,71.62,160,true
8816,96.64,422,false
588,35.63,357,true
1008,50.93,357,true
1150,94.39,357,true
1378,74.99,357,true
2095,32.94,357,true
2420,79.77,357,true
2458,27.81,357,true
3480,42.88,357,true
5348,93.38,357,true
6339,86.9,357,true
6608,97.54,357,true
6747,62.11,357,true
7377,49.58,357,true
7841,94.67,357,true
8732,24.53,357,true
8957,76.27,357,true
9154,59.81,357,true
9304,38.26,357,true
9693,60.57,357,true
9753,94.48,357,true
666,95.68,483,true
730,38.32,483,true
764,54.74,38,false
7300,61.27,160,true
7607,67.74,160,true
7856,62.55,160,true
7983,29.61,160,true
7682,29.51,174,false
1437,75.14,483,true
1783,80.43,483,true
515,88.42,86,true
777,60.83,86,true
1379,58.29,86,true
1382,20.18,86,true
1883,21.17,86,true
2298,51.72,86,true
2617,36.31,86,true
2971,53.8,86,true
3858,26.49,86,true
4261,93.68,86,true
4671,66.05,86,true
6011,89.75,86,true
6767,85.53,86,true
7541,90.15,86,true
7958,39.41,86,true
8451,90.65,86,true
8628,48.91,86,true
9089,20.77,86,true
9130,74.7,86,true
9345,94.77,86,true
54,98.3,72,true
606,52.94,72,true
1339,27.9,72,true
1752,95.54,72,true
1815,40.11,72,true
2329,75.76,72,true
3069,23.05,72,true
3075,20.2,72,true
3160,84.49,72,true
3408,83.51,72,true
3536,75.88,72,true
3896,37.59,72,true
4282,41.5,72,true
4576,46.89,72,true
4636,24.07,72,true
4931,92.3,72,true
5896,37.82,72,true
