Case Id,Event Id,Start Timestamp,End Timesstamp,Event Name,Event Type,Subjec Group,Subject Id,Object Group,Object Id
2211RP,1315,2017-12-15 10:06:18,2017-12-15 10:09:18,putdown current shelf,process activity,robot,68r,shelf,-1s
2211RP,1317,2017-12-15 10:09:18,2017-12-15 10:12:18,go to approriate shelf,process activity,robot,68r,shelf,193s
4293RP,1325,2017-12-15 10:22:18,2017-12-15 10:24:18,putdown current shelf,process activity,robot,80r,shelf,-1s
8475RP,1328,2017-12-15 10:24:18,2017-12-15 10:27:18,putdown current shelf,process activity,robot,44r,shelf,-1s
8427RP,1331,2017-12-15 10:26:18,2017-12-15 10:29:18,putdown current shelf,process activity,robot,41r,shelf,-1s
9441RP,1337,2017-12-15 10:29:18,2017-12-15 10:30:18,putdown current shelf,process activity,robot,24r,shelf,-1s
7060RP,1334,2017-12-15 10:27:18,2017-12-15 10:33:18,putdown current shelf,process activity,robot,72r,shelf,-1s
8475RP,1335,2017-12-15 10:27:18,2017-12-15 10:34:18,go to approriate shelf,process activity,robot,44r,shelf,305s
2211RP,1333,2017-12-15 10:26:18,2017-12-15 10:36:18,reduce speed,process activity,robot,68r,shelf,193s
2211RP,1320,2017-12-15 10:14:18,2017-12-15 10:36:18,move shelf to dock,process activity,robot,68r,shelf,193s
6104RP,1342,2017-12-15 10:33:18,2017-12-15 10:37:18,putdown current shelf,process activity,robot,76r,shelf,-1s
4293RP,1329,2017-12-15 10:25:18,2017-12-15 10:39:18,go to approriate shelf,process activity,robot,80r,shelf,441s
8427RP,1338,2017-12-15 10:29:18,2017-12-15 10:43:18,go to approriate shelf,process activity,robot,41r,shelf,128s
7060RP,1343,2017-12-15 10:34:18,2017-12-15 10:46:18,go to approriate shelf,process activity,robot,72r,shelf,465s
7870RP,1355,2017-12-15 10:42:18,2017-12-15 10:49:18,putdown current shelf,process activity,robot,71r,shelf,-1s
4293RP,1353,2017-12-15 10:41:18,2017-12-15 10:49:18,move shelf to dock,process activity,robot,80r,shelf,441s
9441RP,1340,2017-12-15 10:30:18,2017-12-15 10:51:18,go to approriate shelf,process activity,robot,24r,shelf,165s
8427RP,1361,2017-12-15 10:48:18,2017-12-15 10:53:18,move shelf to dock,process activity,robot,41r,shelf,128s
6104RP,1348,2017-12-15 10:38:18,2017-12-15 10:56:18,go to approriate shelf,process activity,robot,76r,shelf,361s
7060RP,1360,2017-12-15 10:48:18,2017-12-15 11:00:18,move shelf to dock,process activity,robot,72r,shelf,465s
7870RP,1362,2017-12-15 10:49:18,2017-12-15 11:03:18,go to approriate shelf,process activity,robot,71r,shelf,19s
7607RP,1378,2017-12-15 10:59:18,2017-12-15 11:05:18,putdown current shelf,process activity,robot,73r,shelf,-1s
8475RP,1369,2017-12-15 10:55:18,2017-12-15 11:06:18,reduce speed,process activity,robot,44r,shelf,305s
8475RP,1346,2017-12-15 10:36:18,2017-12-15 11:06:18,move shelf to dock,process activity,robot,44r,shelf,305s
2211RP,1375,2017-12-15 10:58:18,2017-12-15 11:10:18,move shelf from dock,process activity,robot,68r,shelf,193s
7541RP,1388,2017-12-15 11:05:18,2017-12-15 11:14:18,putdown current shelf,process activity,robot,82r,shelf,-1s
9441RP,1392,2017-12-15 11:09:18,2017-12-15 11:17:18,reduce speed,process activity,robot,24r,shelf,165s
9441RP,1366,2017-12-15 10:53:18,2017-12-15 11:17:18,move shelf to dock,process activity,robot,24r,shelf,165s
1157RP,1404,2017-12-15 11:16:18,2017-12-15 11:23:18,putdown current shelf,process activity,robot,10r,shelf,-1s
3480RP,1413,2017-12-15 11:20:18,2017-12-15 11:26:18,putdown current shelf,process activity,robot,28r,shelf,-1s
7541RP,1402,2017-12-15 11:15:18,2017-12-15 11:27:18,go to approriate shelf,process activity,robot,82r,shelf,86s
8816RP,1414,2017-12-15 11:21:18,2017-12-15 11:28:18,putdown current shelf,process activity,robot,95r,shelf,-1s
6104RP,1410,2017-12-15 11:19:18,2017-12-15 11:28:18,reduce speed,process activity,robot,76r,shelf,361s
6104RP,1379,2017-12-15 11:00:18,2017-12-15 11:28:18,move shelf to dock,process activity,robot,76r,shelf,361s
7607RP,1396,2017-12-15 11:11:18,2017-12-15 11:30:18,go to approriate shelf,process activity,robot,73r,shelf,160s
4293RP,1406,2017-12-15 11:17:18,2017-12-15 11:32:18,move shelf from dock,process activity,robot,80r,shelf,441s
5293RP,1427,2017-12-15 11:31:18,2017-12-15 11:37:18,putdown current shelf,process activity,robot,19r,shelf,-1s
5091RP,1439,2017-12-15 11:38:18,2017-12-15 11:43:18,putdown current shelf,process activity,robot,2r,shelf,-1s
8427RP,1424,2017-12-15 11:28:18,2017-12-15 11:44:18,move shelf from dock,process activity,robot,41r,shelf,128s
7870RP,1422,2017-12-15 11:27:18,2017-12-15 11:47:18,reduce speed,process activity,robot,71r,shelf,19s
7870RP,1397,2017-12-15 11:11:18,2017-12-15 11:47:18,move shelf to dock,process activity,robot,71r,shelf,19s
764RP,1436,2017-12-15 11:37:18,2017-12-15 11:50:18,putdown current shelf,process activity,robot,61r,shelf,-1s
3480RP,1420,2017-12-15 11:26:18,2017-12-15 11:50:18,go to approriate shelf,process activity,robot,28r,shelf,357s
1157RP,1418,2017-12-15 11:25:18,2017-12-15 11:51:18,go to approriate shelf,process activity,robot,10r,shelf,20s
6879RP,1457,2017-12-15 11:49:18,2017-12-15 11:54:18,putdown current shelf,process activity,robot,18r,shelf,-1s
8033RP,1452,2017-12-15 11:46:18,2017-12-15 11:55:18,putdown current shelf,process activity,robot,36r,shelf,-1s
3896RP,1449,2017-12-15 11:44:18,2017-12-15 11:55:18,putdown current shelf,process activity,robot,6r,shelf,-1s
5293RP,1437,2017-12-15 11:37:18,2017-12-15 11:55:18,go to approriate shelf,process activity,robot,19r,shelf,483s
8816RP,1431,2017-12-15 11:34:18,2017-12-15 11:58:18,go to approriate shelf,process activity,robot,95r,shelf,422s
7060RP,1442,2017-12-15 11:39:18,2017-12-15 11:59:18,move shelf from dock,process activity,robot,72r,shelf,465s
7682RP,1438,2017-12-15 11:38:18,2017-12-15 12:00:18,putdown current shelf,process activity,robot,94r,shelf,-1s
6966RP,1472,2017-12-15 11:59:18,2017-12-15 12:01:18,putdown current shelf,process activity,robot,17r,shelf,-1s
7607RP,1450,2017-12-15 11:45:18,2017-12-15 12:05:18,reduce speed,process activity,robot,73r,shelf,160s
7607RP,1428,2017-12-15 11:31:18,2017-12-15 12:05:18,move shelf to dock,process activity,robot,73r,shelf,160s
3896RP,1467,2017-12-15 11:55:18,2017-12-15 12:07:18,go to approriate shelf,process activity,robot,6r,shelf,72s
3480RP,1466,2017-12-15 11:55:18,2017-12-15 12:11:18,move shelf to dock,process activity,robot,28r,shelf,357s
7682RP,1475,2017-12-15 12:01:18,2017-12-15 12:13:18,go to approriate shelf,process activity,robot,94r,shelf,174s
5091RP,1448,2017-12-15 11:44:18,2017-12-15 12:14:18,go to approriate shelf,process activity,robot,2r,shelf,384s
764RP,1459,2017-12-15 11:50:18,2017-12-15 12:15:18,go to approriate shelf,process activity,robot,61r,shelf,38s
8475RP,1453,2017-12-15 11:46:18,2017-12-15 12:17:18,move shelf from dock,process activity,robot,44r,shelf,305s
5293RP,1490,2017-12-15 12:11:18,2017-12-15 12:20:18,move shelf to dock,process activity,robot,19r,shelf,483s
6966RP,1478,2017-12-15 12:01:18,2017-12-15 12:22:18,go to approriate shelf,process activity,robot,17r,shelf,297s
4178RP,1483,2017-12-15 12:05:18,2017-12-15 12:24:18,putdown current shelf,process activity,robot,69r,shelf,-1s
8816RP,1482,2017-12-15 12:05:18,2017-12-15 12:24:18,move shelf to dock,process activity,robot,95r,shelf,422s
6879RP,1465,2017-12-15 11:54:18,2017-12-15 12:26:18,go to approriate shelf,process activity,robot,18r,shelf,240s
1157RP,1463,2017-12-15 11:54:18,2017-12-15 12:27:18,move shelf to dock,process activity,robot,10r,shelf,20s
5907RP,1480,2017-12-15 12:03:18,2017-12-15 12:30:18,putdown current shelf,process activity,robot,32r,shelf,-1s
7102RP,1476,2017-12-15 12:01:18,2017-12-15 12:31:18,putdown current shelf,process activity,robot,23r,shelf,-1s
7682RP,1500,2017-12-15 12:20:18,2017-12-15 12:32:18,move shelf to dock,process activity,robot,94r,shelf,174s
764RP,1496,2017-12-15 12:18:18,2017-12-15 12:35:18,move shelf to dock,process activity,robot,61r,shelf,38s
8033RP,1492,2017-12-15 12:12:18,2017-12-15 12:41:18,go to approriate shelf,process activity,robot,36r,shelf,287s
3896RP,1534,2017-12-15 12:40:18,2017-12-15 12:43:18,reduce speed,process activity,robot,6r,shelf,72s
3896RP,1486,2017-12-15 12:08:18,2017-12-15 12:43:18,move shelf to dock,process activity,robot,6r,shelf,72s
