Shelf Id,Event Id,Timestamp, 
1,1346,2017-08-23 19:30:39,754
3,1408,2017-08-23 20:45:28,947
0,1510,2017-08-23 22:42:58,197
1,1552,2017-08-23 23:26:13,189
2,1585,2017-08-24 00:02:15,1069
1,1641,2017-08-24 01:04:25,803
1,1798,2017-08-24 03:53:41,415
0,1860,2017-08-24 05:03:34,95
3,1937,2017-08-24 06:20:04,842
2,1970,2017-08-24 06:55:26,274
4,2124,2017-08-24 09:33:43,1220
0,2174,2017-08-24 10:31:35,114
3,2266,2017-08-24 12:03:36,1145
1,2272,2017-08-24 12:08:28,1349
0,2277,2017-08-24 12:11:25,1227
3,2320,2017-08-24 12:58:04,1232
1,2469,2017-08-24 15:45:19,659
0,2473,2017-08-24 15:49:46,309
1,2712,2017-08-24 20:12:11,619
2,2940,2017-08-25 00:24:44,1042
1,3044,2017-08-25 02:10:28,302
4,3059,2017-08-25 02:25:56,1241
1,3125,2017-08-25 03:30:55,409
2,3208,2017-08-25 05:01:52,530
2,3264,2017-08-25 06:05:37,1350
3,3325,2017-08-25 07:12:35,213
4,3336,2017-08-25 07:25:36,688
1,3501,2017-08-25 10:19:07,915
1,3614,2017-08-25 12:20:35,920
0,3621,2017-08-25 12:26:50,801
1,3722,2017-08-25 14:17:52,57
2,3783,2017-08-25 15:21:01,1095
0,3837,2017-08-25 16:14:43,912
0,3909,2017-08-25 17:29:10,777
2,4054,2017-08-25 20:01:12,610
2,4239,2017-08-25 23:21:27,764
0,4263,2017-08-25 23:48:12,1080
3,4318,2017-08-26 00:44:26,887
3,4375,2017-08-26 02:01:41,999
0,4429,2017-08-26 03:09:28,738
1,4471,2017-08-26 03:55:45,630
3,4551,2017-08-26 05:28:07,906
0,4717,2017-08-26 09:10:20,1381
3,4828,2017-08-26 11:25:44,1035
4,4838,2017-08-26 11:32:51,191
1,4885,2017-08-26 12:26:37,1380
3,4914,2017-08-26 12:55:37,1012
0,4983,2017-08-26 14:17:03,822
1,4986,2017-08-26 14:19:32,536
3,5178,2017-08-26 18:06:27,371
2,5179,2017-08-26 18:06:27,720
4,5196,2017-08-26 18:23:46,325
0,5241,2017-08-26 19:09:55,38
4,5257,2017-08-26 19:23:20,865
2,5275,2017-08-26 19:45:43,1036
1,5281,2017-08-26 19:51:29,945
0,5345,2017-08-26 21:00:14,376
4,5499,2017-08-27 00:07:39,100
4,5547,2017-08-27 00:56:54,52
3,5609,2017-08-27 02:10:16,512
2,5636,2017-08-27 02:36:29,89
4,5646,2017-08-27 02:50:38,319
1,5696,2017-08-27 03:45:11,1156
4,5786,2017-08-27 05:30:55,952
2,5806,2017-08-27 05:57:40,508
3,5854,2017-08-27 06:48:29,1353
2,5904,2017-08-27 07:52:15,539
0,5978,2017-08-27 09:25:34,826
2,6049,2017-08-27 10:50:04,652
1,6087,2017-08-27 11:35:29,279
0,6093,2017-08-27 11:42:52,895
2,6132,2017-08-27 12:22:04,922
1,6146,2017-08-27 12:38:12,955
4,6211,2017-08-27 13:51:02,1088
0,6275,2017-08-27 15:10:29,616
3,6279,2017-08-27 15:14:08,994
1,6336,2017-08-27 16:29:00,1192
1,6409,2017-08-27 17:54:30,771
0,6429,2017-08-27 18:13:43,651
3,6444,2017-08-27 18:30:41,406
0,6475,2017-08-27 19:12:16,823
3,6556,2017-08-27 20:55:59,602
3,6709,2017-08-27 23:52:05,555
3,6747,2017-08-28 00:40:47,944
4,6763,2017-08-28 00:53:52,178
4,6903,2017-08-28 03:23:48,1172
0,7036,2017-08-28 06:09:17,960
0,7080,2017-08-28 06:56:44,1075
3,7091,2017-08-28 07:08:05,914
1,7097,2017-08-28 07:15:37,848
2,7183,2017-08-28 08:52:33,492
0,7206,2017-08-28 09:19:50,818
3,7295,2017-08-28 11:00:40,736
2,7299,2017-08-28 11:05:12,61
4,7347,2017-08-28 11:59:30,854
3,7356,2017-08-28 12:10:07,883
1,7450,2017-08-28 14:20:25,1180
0,7520,2017-08-28 15:41:11,1222
4,7552,2017-08-28 16:23:04,1385
1,7637,2017-08-28 18:09:18,724
3,7679,2017-08-28 19:19:21,222
