Case Id,Event Id,Start Timestamp,End Timesstamp,Event name,Event type,Ressource Group,Ressource Id
754,1311,2017-08-23 18:49:01,2017-08-23 18:50:34,Request product,process activity,clerk,1
398,1314,2017-08-23 18:56:43,2017-08-23 18:56:43,Request product,process activity,clerk,1
328,1317,2017-08-23 18:59:46,2017-08-23 18:59:46,Request product,process activity,clerk,1
754,1316,2017-08-23 18:59:46,2017-08-23 19:06:27,putdown current shelf,process activity,robot,3
1376,1320,2017-08-23 19:04:42,2017-08-23 19:06:27,Request product,process activity,clerk,1
988,1324,2017-08-23 19:08:19,2017-08-23 19:09:49,Request product,process activity,clerk,1
328,1326,2017-08-23 19:08:19,2017-08-23 19:11:27,putdown current shelf,process activity,robot,1
398,1323,2017-08-23 19:08:19,2017-08-23 19:11:27,putdown current shelf,process activity,robot,0
1341,1328,2017-08-23 19:13:26,2017-08-23 19:13:26,Request product,process activity,clerk,1
398,1329,2017-08-23 19:13:26,2017-08-23 19:15:13,go to approriate shelf,process activity,robot,0
595,1332,2017-08-23 19:16:53,2017-08-23 19:18:48,Request product,process activity,clerk,1
754,1325,2017-08-23 19:08:19,2017-08-23 19:20:12,go to approriate shelf,process activity,robot,3
328,1330,2017-08-23 19:13:26,2017-08-23 19:22:09,go to approriate shelf,process activity,robot,1
947,1336,2017-08-23 19:22:09,2017-08-23 19:27:26,Request product,process activity,clerk,1
328,1338,2017-08-23 19:23:44,2017-08-23 19:33:20,move shelf to dock,process activity,robot,1
398,1340,2017-08-23 19:26:17,2017-08-23 19:33:20,move shelf to dock,process activity,robot,0
927,1345,2017-08-23 19:30:39,2017-08-23 19:36:01,Request product,process activity,clerk,1
754,1355,2017-08-23 19:45:22,2017-08-23 19:48:33,reduce speed,process activity,robot,3
754,1344,2017-08-23 19:30:39,2017-08-23 19:48:33,move shelf to dock,process activity,robot,3
888,1358,2017-08-23 19:48:33,2017-08-23 19:56:30,Request product,process activity,clerk,1
754,1366,2017-08-23 19:59:31,2017-08-23 19:59:31,collect product from shelf,manual activity ,clerk,1
398,1360,2017-08-23 19:52:11,2017-08-23 20:02:20,collect product from shelf,manual activity ,clerk,1
1069,1367,2017-08-23 19:59:31,2017-08-23 20:05:16,Request product,process activity,clerk,1
328,1364,2017-08-23 19:57:58,2017-08-23 20:08:57,collect product from shelf,manual activity ,clerk,1
398,1373,2017-08-23 20:08:57,2017-08-23 20:25:27,move shelf from clerk dock,process activity,robot,0
328,1382,2017-08-23 20:23:28,2017-08-23 20:32:10,move shelf from clerk dock,process activity,robot,1
197,1386,2017-08-23 20:30:19,2017-08-23 20:34:14,Request product,process activity,clerk,1
947,1387,2017-08-23 20:30:19,2017-08-23 20:35:25,putdown current shelf,process activity,robot,2
754,1390,2017-08-23 20:33:14,2017-08-23 20:35:25,move shelf from clerk dock,process activity,robot,3
189,1395,2017-08-23 20:35:25,2017-08-23 20:36:34,Request product,process activity,clerk,1
927,1393,2017-08-23 20:34:14,2017-08-23 20:39:18,putdown current shelf,process activity,robot,1
947,1396,2017-08-23 20:35:25,2017-08-23 20:39:18,go to approriate shelf,process activity,robot,2
754,1392,2017-08-23 20:34:14,2017-08-23 20:40:53,do extra check,manual activity ,clerk,1
1121,1399,2017-08-23 20:39:18,2017-08-23 20:42:24,Request product,process activity,clerk,1
754,1401,2017-08-23 20:40:53,2017-08-23 20:45:28,Package product,manual activity ,clerk,1
1376,1402,2017-08-23 20:40:53,2017-08-23 20:45:28,putdown current shelf,process activity,robot,3
1126,1407,2017-08-23 20:43:35,2017-08-23 20:45:28,Request product,process activity,clerk,1
1376,1409,2017-08-23 20:45:28,2017-08-23 20:46:38,go to approriate shelf,process activity,robot,3
947,1410,2017-08-23 20:45:28,2017-08-23 20:51:00,reduce speed,process activity,robot,2
947,1404,2017-08-23 20:42:24,2017-08-23 20:51:00,move shelf to dock,process activity,robot,2
212,1413,2017-08-23 20:49:10,2017-08-23 20:52:38,Request product,process activity,clerk,1
927,1406,2017-08-23 20:43:35,2017-08-23 20:57:29,go to approriate shelf,process activity,robot,1
1376,1415,2017-08-23 20:51:00,2017-08-23 21:00:50,move shelf to dock,process activity,robot,3
927,1422,2017-08-23 21:02:07,2017-08-23 21:09:17,move shelf to dock,process activity,robot,1
1178,1426,2017-08-23 21:05:00,2017-08-23 21:10:18,Request product,process activity,clerk,1
947,1425,2017-08-23 21:05:00,2017-08-23 21:15:37,collect product from shelf,manual activity ,clerk,1
927,1435,2017-08-23 21:17:14,2017-08-23 21:22:19,collect product from shelf,manual activity ,clerk,1
1376,1438,2017-08-23 21:22:19,2017-08-23 21:32:42,collect product from shelf,manual activity ,clerk,1
753,1439,2017-08-23 21:22:19,2017-08-23 21:36:04,Request product,process activity,clerk,1
947,1442,2017-08-23 21:24:56,2017-08-23 21:44:36,move shelf from clerk dock,process activity,robot,2
1341,1456,2017-08-23 21:43:29,2017-08-23 21:46:34,putdown current shelf,process activity,robot,0
927,1454,2017-08-23 21:41:38,2017-08-23 21:46:34,move shelf from clerk dock,process activity,robot,1
1376,1450,2017-08-23 21:37:24,2017-08-23 21:46:34,move shelf from clerk dock,process activity,robot,3
398,1458,2017-08-23 21:44:36,2017-08-23 21:51:58,Package product,manual activity ,clerk,1
